Date,Adj Close,Close,High,Low,Open,Volume
2021-03-01,196.75392150878906,206.47000122070312,208.24000549316406,204.77999877929688,205.77999877929688,2797400
2021-03-02,194.5335693359375,204.13999938964844,209.9499969482422,204.10000610351562,208.88999938964844,3445300
2021-03-03,192.49424743652344,202.0,204.30999755859375,199.7100067138672,203.3699951171875,3660300
2021-03-04,191.1029052734375,200.5399932861328,204.74000549316406,198.61000061035156,203.7899932861328,4308400
2021-03-05,197.18276977539062,206.9199981689453,207.6699981689453,200.8800048828125,201.02000427246094,3875900
2021-03-08,197.2875213623047,207.02999877929688,210.88999938964844,206.32000732421875,207.0,3300300
2021-03-09,196.410888671875,206.11000061035156,212.16000366210938,206.05999755859375,208.33999633789062,4227300
2021-03-10,195.7819061279297,205.4499969482422,208.0399932861328,204.38999938964844,206.88999938964844,3400200
2021-03-11,195.55320739746094,205.2100067138672,207.25,204.27000427246094,206.50999450683594,4037300
2021-03-12,198.2881317138672,208.0800018310547,208.4600067138672,202.27999877929688,204.88999938964844,4541400
2021-03-15,180.25851440429688,189.16000366210938,193.17999267578125,188.1999969482422,193.00999450683594,12388500
2021-03-16,181.91659545898438,190.89999389648438,191.6199951171875,187.22999572753906,191.5399932861328,6194200
2021-03-17,177.9428253173828,186.72999572753906,189.8300018310547,186.55999755859375,189.72999572753906,5134200
2021-03-18,175.27456665039062,183.92999267578125,187.08999633789062,183.8000030517578,186.02000427246094,4240000
2021-03-19,175.61764526367188,184.2899932861328,185.8000030517578,183.8800048828125,184.6999969482422,6048600
2021-03-22,177.0946807861328,185.83999633789062,185.91000366210938,183.1999969482422,184.0500030517578,2666600
2021-03-23,175.03634643554688,183.67999267578125,186.66000366210938,183.25,185.35000610351562,3284700
2021-03-24,171.69155883789062,180.1699981689453,183.83999633789062,179.82000732421875,183.6999969482422,3931500
2021-03-25,174.47415161132812,183.08999633789062,183.63999938964844,180.22000122070312,181.0,2630500
2021-03-26,176.5896453857422,185.30999755859375,185.91000366210938,182.6300048828125,184.0500030517578,2868200
2021-03-29,177.5711669921875,186.33999633789062,187.6699981689453,183.50999450683594,184.66000366210938,3002600
2021-03-30,176.77069091796875,185.5,186.86000061035156,184.7100067138672,185.52999877929688,2523600
2021-03-31,178.0286102294922,186.82000732421875,187.94000244140625,185.25999450683594,185.57000732421875,3621300
2021-04-01,176.52297973632812,185.24000549316406,188.07000732421875,184.66000366210938,186.82000732421875,2340400
2021-04-05,176.1894073486328,184.88999938964844,185.89999389648438,183.10000610351562,185.58999633789062,2864800
2021-04-06,174.19781494140625,182.8000030517578,185.6300048828125,182.49000549316406,184.69000244140625,2488400
2021-04-07,173.74034118652344,182.32000732421875,183.17999267578125,181.22000122070312,182.89999389648438,3406600
2021-04-08,174.01670837402344,182.61000061035156,183.97000122070312,182.47000122070312,182.9499969482422,2393200
2021-04-09,175.8082275390625,184.49000549316406,185.13999938964844,182.41000366210938,182.52999877929688,2611200
2021-04-12,173.2638702392578,181.82000732421875,183.94000244140625,180.8800048828125,183.42999267578125,2876100
2021-04-13,173.9405059814453,182.52999877929688,183.63999938964844,181.17999267578125,181.17999267578125,3089100
2021-04-14,174.3883514404297,183.0,184.47000122070312,182.0500030517578,182.58999633789062,2002100
2021-04-15,177.17092895507812,185.9199981689453,187.72000122070312,183.41000366210938,183.7899932861328,2586600
2021-04-16,180.34426879882812,189.25,190.3000030517578,186.8800048828125,187.3800048828125,3731800
2021-04-19,180.71591186523438,189.63999938964844,190.8800048828125,188.07000732421875,189.24000549316406,2966400
2021-04-20,181.64027404785156,190.61000061035156,193.5,190.1699981689453,190.41000366210938,2460900
2021-04-21,181.96424865722656,190.9499969482422,193.00999450683594,189.8000030517578,191.55999755859375,2219800
2021-04-22,178.24774169921875,187.0500030517578,191.27000427246094,186.75,190.0,2982600
2021-04-23,179.8391571044922,188.72000122070312,189.1300048828125,187.02999877929688,187.02999877929688,2482800
2021-04-26,178.4097442626953,187.22000122070312,188.64999389648438,186.05999755859375,188.57000732421875,2797500
2021-04-27,173.6355438232422,182.2100067138672,185.8699951171875,180.7899932861328,184.0,6838700
2021-04-28,172.05364990234375,180.5500030517578,182.0,178.5800018310547,181.4499969482422,4682800
2021-04-29,173.62596130371094,182.1999969482422,182.6300048828125,180.0,181.05999755859375,2432500
2021-04-30,174.16915893554688,182.77000427246094,183.9499969482422,181.19000244140625,181.83999633789062,3103900
2021-05-03,177.17092895507812,185.9199981689453,186.35000610351562,182.9199981689453,182.99000549316406,3197000
2021-05-04,179.34364318847656,188.1999969482422,190.0800018310547,186.77999877929688,187.52999877929688,3703500
2021-05-05,183.73672485351562,192.80999755859375,193.57000732421875,188.1699981689453,188.64999389648438,4274400
2021-05-06,184.76588439941406,193.88999938964844,194.10000610351562,189.32000732421875,191.5500030517578,3101600
2021-05-07,186.22390747070312,195.4199981689453,196.27000427246094,193.89999389648438,194.82000732421875,2526700
2021-05-10,185.59494018554688,194.75999450683594,196.61000061035156,193.5,196.1699981689453,2242000
2021-05-11,185.58543395996094,194.75,195.75,193.00999450683594,193.38999938964844,1850200
2021-05-12,184.1083526611328,193.1999969482422,195.64999389648438,192.72999572753906,194.75,2397400
2021-05-13,186.58738708496094,194.94000244140625,196.11000061035156,191.75,192.25,2174300
2021-05-14,187.80296325683594,196.2100067138672,197.27000427246094,194.9199981689453,195.7100067138672,1823700
2021-05-17,187.152099609375,195.52999877929688,199.61000061035156,195.08999633789062,196.47999572753906,2466000
2021-05-18,186.2906494140625,194.6300048828125,196.35000610351562,193.5800018310547,195.0,2369400
2021-05-19,188.09011840820312,196.50999450683594,197.38999938964844,193.11000061035156,193.61000061035156,3070500
2021-05-20,190.98069763183594,199.52999877929688,201.0800018310547,196.1699981689453,197.16000366210938,3494400
2021-05-21,191.3157196044922,199.8800048828125,201.9199981689453,199.47000122070312,200.0,2579000
2021-05-24,192.40689086914062,201.02000427246094,203.6199951171875,200.0399932861328,201.0,2074900
2021-05-25,190.68402099609375,199.22000122070312,201.85000610351562,199.13999938964844,201.42999267578125,2919100
2021-05-26,192.37815856933594,200.99000549316406,202.44000244140625,198.25,199.22999572753906,2891300
2021-05-27,190.66488647460938,199.1999969482422,201.3800048828125,195.5,200.64999389648438,9340300
2021-05-28,191.18174743652344,199.74000549316406,202.27999877929688,198.52999877929688,199.1199951171875,2386000
2021-06-01,189.91827392578125,198.4199981689453,200.88999938964844,196.67999267578125,200.32000732421875,3070200
2021-06-02,190.59788513183594,199.1300048828125,200.9199981689453,198.25,199.00999450683594,2030300
2021-06-03,194.01490783691406,202.6999969482422,203.63999938964844,198.61000061035156,198.99000549316406,3066600
2021-06-04,193.36404418945312,202.02000427246094,204.4499969482422,201.2899932861328,202.7899932861328,2817700
2021-06-07,212.9856719970703,222.52000427246094,233.3300018310547,201.8300018310547,201.99000549316406,17231400
2021-06-08,211.24365234375,220.6999969482422,222.27000427246094,217.3699951171875,221.7100067138672,4618500
2021-06-09,216.3165740966797,226.0,226.72999572753906,220.25999450683594,221.35000610351562,4934900
2021-06-10,223.5334930419922,233.5399932861328,235.85000610351562,226.25,226.97000122070312,5598200
2021-06-11,214.48838806152344,224.08999633789062,229.58999633789062,221.55999755859375,227.02999877929688,5636000
2021-06-14,216.4122772216797,226.10000610351562,226.66000366210938,223.02000427246094,224.22999572753906,2720700
2021-06-15,213.9428253173828,223.52000427246094,226.66000366210938,222.8699951171875,226.10000610351562,2188900
2021-06-16,211.3010711669922,220.75999450683594,224.36000061035156,220.1999969482422,223.52999877929688,2548800
2021-06-17,212.68896484375,222.2100067138672,223.10000610351562,220.27000427246094,220.27000427246094,1890700
2021-06-18,209.18577575683594,218.5500030517578,221.0500030517578,218.32000732421875,220.42999267578125,4016600
2021-06-21,213.1292266845703,222.6699981689453,223.77000427246094,218.0800018310547,219.10000610351562,3671300
2021-06-22,211.95196533203125,221.44000244140625,223.61000061035156,220.50999450683594,222.6300048828125,1658800
2021-06-23,207.79795837402344,217.10000610351562,222.24000549316406,217.0,222.19000244140625,2419600
2021-06-24,222.98789978027344,232.97000122070312,239.3699951171875,230.4199981689453,234.9199981689453,12290500
2021-06-25,220.35574340820312,230.22000122070312,233.49000549316406,229.38999938964844,233.1199951171875,6992200
2021-06-28,218.4414520263672,228.22000122070312,229.8800048828125,226.8800048828125,229.0,2507500
2021-06-29,219.5421600341797,229.3699951171875,231.39999389648438,227.85000610351562,228.25,1621200
2021-06-30,219.6857147216797,229.52000427246094,230.85000610351562,229.05999755859375,230.08999633789062,1786700
2021-07-01,221.2267608642578,231.1300048828125,231.5,228.66000366210938,229.50999450683594,1977300
2021-07-02,223.93551635742188,233.9600067138672,234.2100067138672,231.3300018310547,231.97000122070312,1994000
2021-07-06,225.3329620361328,235.4199981689453,235.5800018310547,233.22999572753906,233.6300048828125,3125400
2021-07-07,225.71578979492188,235.82000732421875,236.58999633789062,233.4600067138672,234.67999267578125,3141500
2021-07-08,226.96009826660156,237.1199951171875,237.27000427246094,232.10000610351562,233.8300018310547,2431500
2021-07-09,224.92135620117188,234.99000549316406,238.47000122070312,232.75,237.1699981689453,4030100
2021-07-12,225.89764404296875,236.00999450683594,238.0,235.14999389648438,235.1699981689453,2928600
2021-07-13,225.2180938720703,235.3000030517578,236.64999389648438,234.02999877929688,235.97999572753906,1974000
2021-07-14,226.22311401367188,236.35000610351562,237.22999572753906,234.72999572753906,235.7899932861328,2103400
2021-07-15,221.5522003173828,231.47000122070312,235.99000549316406,230.69000244140625,235.00999450683594,3611200
2021-07-16,222.49977111816406,232.4600067138672,233.0399932861328,231.2100067138672,232.5,2229100
2021-07-19,224.10781860351562,234.13999938964844,234.3000030517578,230.57000732421875,231.8800048828125,2305600
2021-07-20,224.95008850097656,235.02000427246094,237.75,233.94000244140625,235.0,2297800
2021-07-21,227.122802734375,237.2899932861328,237.3699951171875,233.58999633789062,236.3800048828125,1651500
2021-07-22,228.27139282226562,238.49000549316406,239.6999969482422,236.3699951171875,237.27999877929688,1703500
2021-07-23,233.6888885498047,244.14999389648438,244.5500030517578,238.55999755859375,239.27999877929688,2448100
2021-07-26,232.78924560546875,243.2100067138672,245.27999877929688,242.57000732421875,242.57000732421875,2678800
2021-07-27,233.143310546875,243.5800018310547,244.05999755859375,242.66000366210938,243.7100067138672,2116500
2021-07-28,235.94775390625,246.50999450683594,248.39999389648438,242.63999938964844,243.3699951171875,1688000
2021-07-29,234.81834411621094,245.3300018310547,248.24000549316406,242.24000549316406,247.5,1924100
2021-07-30,233.0667724609375,243.5,245.9499969482422,242.6300048828125,244.89999389648438,1905100
2021-08-02,236.03390502929688,246.60000610351562,247.88999938964844,244.25,245.72999572753906,1958900
2021-08-03,245.0216064453125,255.99000549316406,259.3699951171875,243.5,244.75,5406200
2021-08-04,251.2239532470703,262.4700012207031,270.6499938964844,255.4199981689453,256.0,3892400
2021-08-05,252.87020874023438,264.19000244140625,265.510009765625,261.3299865722656,263.2799987792969,2262400
2021-08-06,252.15237426757812,263.44000244140625,264.2699890136719,260.739990234375,263.510009765625,2155200
2021-08-09,255.7130126953125,267.1600036621094,273.0400085449219,264.5,264.5799865722656,3238500
2021-08-10,257.90484619140625,269.45001220703125,271.0799865722656,266.17999267578125,266.75,2060200
2021-08-11,252.78408813476562,264.1000061035156,270.94000244140625,262.6600036621094,269.5899963378906,2813300
2021-08-12,252.99533081054688,263.4700012207031,264.5400085449219,261.489990234375,263.20001220703125,2100900
2021-08-13,253.7059326171875,264.2099914550781,265.69000244140625,263.0199890136719,263.1499938964844,1482300
2021-08-16,259.2081298828125,269.94000244140625,270.260009765625,264.2699890136719,264.8800048828125,2623200
2021-08-17,261.8679504394531,272.7099914550781,275.8699951171875,267.17999267578125,271.1600036621094,2096100
2021-08-18,257.8446044921875,268.5199890136719,274.760009765625,268.0299987792969,272.010009765625,2527400
2021-08-19,259.6498107910156,270.3999938964844,271.8500061035156,265.42999267578125,266.1499938964844,1901000
2021-08-20,260.13958740234375,270.9100036621094,272.8699951171875,269.05999755859375,269.3800048828125,1536800
2021-08-23,257.17242431640625,267.82000732421875,272.9100036621094,267.70001220703125,272.29998779296875,2438800
2021-08-24,252.32315063476562,262.7699890136719,267.44000244140625,261.7799987792969,266.20001220703125,3736000
2021-08-25,253.3794708251953,263.8699951171875,264.5199890136719,261.2900085449219,262.7799987792969,2388500
2021-08-26,250.9308624267578,261.32000732421875,265.5899963378906,260.5799865722656,264.0,1732900
2021-08-27,249.42323303222656,259.75,263.1300048828125,258.5799865722656,262.5199890136719,1839700
2021-08-30,251.8815155029297,262.30999755859375,264.07000732421875,259.6099853515625,261.0299987792969,1300700
2021-08-31,248.02130126953125,258.2900085449219,263.6400146484375,257.8599853515625,262.8399963378906,2733400
2021-09-01,247.16664123535156,257.3999938964844,258.7699890136719,254.49000549316406,258.5400085449219,2956800
2021-09-02,249.2504425048828,259.57000732421875,259.7300109863281,256.4700012207031,257.4100036621094,1469700
2021-09-03,249.21202087402344,259.5299987792969,260.989990234375,256.7799987792969,260.8299865722656,1124500
2021-09-07,244.67002868652344,254.8000030517578,260.82000732421875,254.41000366210938,259.0,2403700
2021-09-08,244.70843505859375,254.83999633789062,255.7100067138672,253.67999267578125,254.60000610351562,1542400
2021-09-09,230.4584503173828,240.0,254.02000427246094,239.6699981689453,253.2899932861328,4976600
2021-09-10,229.9783172607422,239.5,243.88999938964844,238.57000732421875,242.1999969482422,4633500
2021-09-13,228.49954223632812,237.9600067138672,241.14999389648438,235.14999389648438,240.0399932861328,2832800
2021-09-14,223.82315063476562,233.08999633789062,239.7899932861328,231.97999572753906,238.72000122070312,3826000
2021-09-15,224.43768310546875,233.72999572753906,239.3800048828125,233.05999755859375,233.5800018310547,2802500
2021-09-16,221.8546600341797,231.0399932861328,234.69000244140625,229.72999572753906,234.0800018310547,2958700
2021-09-17,220.95204162597656,230.10000610351562,230.8300018310547,228.22999572753906,229.7100067138672,4480000
2021-09-20,222.43081665039062,231.63999938964844,232.72999572753906,227.2899932861328,228.08999633789062,2803400
2021-09-21,221.01922607421875,230.1699981689453,233.72000122070312,229.74000549316406,232.05999755859375,2172800
2021-09-22,219.2235870361328,228.3000030517578,231.02999877929688,227.5800018310547,230.0,2529600
2021-09-23,222.9493408203125,232.17999267578125,234.1999969482422,229.00999450683594,229.3000030517578,1912300
2021-09-24,222.4691925048828,231.67999267578125,235.38999938964844,231.33999633789062,232.77000427246094,1642500
2021-09-27,217.39910888671875,226.39999389648438,231.05999755859375,225.61000061035156,229.97000122070312,2785900
2021-09-28,212.78997802734375,221.60000610351562,226.39999389648438,220.1999969482422,226.38999938964844,3583300
2021-09-29,221.20167541503906,230.36000061035156,231.44000244140625,224.55999755859375,225.41000366210938,3971000
2021-09-30,221.86427307128906,231.0500030517578,237.16000366210938,230.8000030517578,232.77999877929688,3786100
2021-10-01,220.46229553222656,229.58999633789062,231.67999267578125,225.4499969482422,231.0,2215700
2021-10-04,215.9107666015625,224.85000610351562,230.19000244140625,224.22000122070312,227.8000030517578,4784700
2021-10-05,221.74903869628906,230.92999267578125,232.55999755859375,226.1699981689453,226.44000244140625,2802000
2021-10-06,218.79148864746094,227.85000610351562,230.85000610351562,226.0500030517578,230.55999755859375,2462700
2021-10-07,223.9095458984375,233.17999267578125,234.11000061035156,229.0,229.1199951171875,2001800
2021-10-08,224.63937377929688,233.94000244140625,235.80999755859375,231.5500030517578,233.4199981689453,2563000
2021-10-11,224.38006591796875,233.6699981689453,237.99000549316406,233.60000610351562,236.6999969482422,1892300
2021-10-12,223.52548217773438,232.77999877929688,235.07000732421875,231.97999572753906,234.6999969482422,1719200
2021-10-13,227.0399932861328,236.44000244140625,237.9199981689453,232.8000030517578,234.07000732421875,2105700
2021-10-14,227.280029296875,236.69000244140625,238.44000244140625,234.11000061035156,237.00999450683594,1824700
2021-10-15,228.42271423339844,237.8800048828125,239.3000030517578,235.82000732421875,237.4199981689453,2598300
2021-10-18,229.47898864746094,238.97999572753906,242.66000366210938,236.6999969482422,237.9499969482422,2546000
2021-10-19,232.67662048339844,242.30999755859375,242.5500030517578,239.05999755859375,239.05999755859375,1573200
2021-10-20,234.03054809570312,243.72000122070312,245.89999389648438,243.0399932861328,243.72999572753906,1537500
2021-10-21,231.5819091796875,241.1699981689453,244.9499969482422,239.8300018310547,244.9499969482422,1717700
2021-10-22,234.0593719482422,243.75,244.0399932861328,239.55999755859375,240.9600067138672,1960700
2021-10-25,235.30767822265625,245.0500030517578,246.27000427246094,240.52000427246094,244.66000366210938,2763100
2021-10-26,238.5628662109375,248.44000244140625,248.9199981689453,237.08999633789062,244.5,4533000
2021-10-27,240.22410583496094,250.1699981689453,254.4600067138672,248.32000732421875,248.61000061035156,3181300
2021-10-28,243.2777099609375,253.35000610351562,256.75,250.0800018310547,250.16000366210938,3386500
2021-10-29,244.63160705566406,254.75999450683594,256.4700012207031,251.77000427246094,253.77999877929688,3152000
2021-11-01,239.39828491210938,249.30999755859375,256.4800109863281,248.0500030517578,255.11000061035156,2735800
2021-11-02,246.6385498046875,256.8500061035156,259.29998779296875,249.39999389648438,251.25,3987800
2021-11-03,255.67440795898438,266.260009765625,266.7900085449219,257.760009765625,257.7699890136719,4382900
2021-11-04,260.22601318359375,271.0,271.1099853515625,265.2699890136719,265.4800109863281,4133400
2021-11-05,254.4645233154297,265.0,269.489990234375,258.55999755859375,268.989990234375,3745700
2021-11-08,250.1722412109375,260.5299987792969,266.9100036621094,259.1499938964844,263.989990234375,2386100
2021-11-09,251.6029815673828,262.0199890136719,262.1600036621094,258.3900146484375,260.5299987792969,1963800
2021-11-10,254.12843322753906,264.6499938964844,266.0,261.6000061035156,262.0,2215100
2021-11-11,252.1887969970703,262.6300048828125,264.32000732421875,261.95001220703125,262.32000732421875,1739400
2021-11-12,250.13673400878906,259.6499938964844,262.5199890136719,258.92999267578125,261.7799987792969,1964000
2021-11-15,248.96145629882812,258.42999267578125,259.6099853515625,257.1600036621094,259.3900146484375,1903200
2021-11-16,248.27743530273438,257.7200012207031,260.3500061035156,255.99000549316406,256.9599914550781,2565700
2021-11-17,251.61073303222656,261.17999267578125,264.54998779296875,256.07000732421875,256.80999755859375,2873600
2021-11-18,251.75521850585938,261.3299865722656,263.79998779296875,259.82000732421875,262.0,1689200
2021-11-19,251.14828491210938,260.70001220703125,270.79998779296875,260.29998779296875,266.42999267578125,2786800
2021-11-22,250.8978729248047,260.44000244140625,263.989990234375,259.1300048828125,262.2200012207031,1995400
2021-11-23,252.3621368408203,261.9599914550781,262.760009765625,259.25,259.4700012207031,1986200
2021-11-24,252.40065002441406,262.0,264.94000244140625,260.04998779296875,262.7699890136719,2518500
2021-11-26,250.83041381835938,260.3699951171875,265.8800048828125,259.0299987792969,261.79998779296875,1495500
2021-11-29,245.49337768554688,254.8300018310547,262.32000732421875,254.5,260.0199890136719,4041700
2021-11-30,238.95213317871094,248.0399932861328,254.0,246.47999572753906,253.27000427246094,8265900
2021-12-01,240.00221252441406,249.1300048828125,255.3000030517578,247.88999938964844,249.44000244140625,3241400
2021-12-02,238.7980499267578,247.8800048828125,249.97999572753906,245.1199951171875,246.52000427246094,3817700
2021-12-03,236.58229064941406,245.5800018310547,253.47999572753906,243.0800018310547,252.1300048828125,4169700
2021-12-06,237.3048095703125,246.3300018310547,246.94000244140625,241.52999877929688,245.9199981689453,3491200
2021-12-07,236.12950134277344,245.11000061035156,245.44000244140625,241.4499969482422,244.24000549316406,4035800
2021-12-08,235.36846923828125,244.32000732421875,248.17999267578125,239.47000122070312,246.61000061035156,3636200
2021-12-09,234.00045776367188,242.89999389648438,245.91000366210938,242.75,244.49000549316406,2291100
2021-12-10,235.19503784179688,244.13999938964844,244.58999633789062,241.1999969482422,241.1999969482422,2380800
2021-12-13,239.42417907714844,248.52999877929688,250.6999969482422,245.4600067138672,245.50999450683594,3016700
2021-12-14,240.24305725097656,249.3800048828125,250.00999450683594,246.38999938964844,247.74000549316406,3424000
2021-12-15,265.194091796875,275.2799987792969,275.5400085449219,257.2099914550781,262.07000732421875,10016700
2021-12-16,268.81634521484375,279.0400085449219,283.8999938964844,272.04998779296875,275.6700134277344,5546400
2021-12-17,257.6221008300781,267.4200134277344,276.6700134277344,265.3299865722656,276.6700134277344,7582900
2021-12-20,253.82644653320312,263.4800109863281,270.010009765625,260.3500061035156,269.2300109863281,3479400
2021-12-21,255.17515563964844,264.8800048828125,265.95001220703125,260.57000732421875,264.0,2702500
2021-12-22,256.7358093261719,266.5,266.55999755859375,262.8500061035156,264.739990234375,2721000
2021-12-23,263.093994140625,273.1000061035156,275.2699890136719,266.67999267578125,269.04998779296875,2632200
2021-12-27,268.20941162109375,278.4100036621094,280.29998779296875,274.7200012207031,275.0400085449219,1677100
2021-12-28,266.30194091796875,276.42999267578125,279.3999938964844,275.8900146484375,279.3399963378906,1033900
2021-12-29,268.21905517578125,278.4200134277344,279.3599853515625,275.739990234375,275.82000732421875,1112300
2021-12-30,267.09197998046875,277.25,280.6499938964844,276.3699951171875,279.19000244140625,1181500
2021-12-31,266.0997314453125,276.2200012207031,278.7300109863281,276.010009765625,277.4700012207031,1315700
2022-01-03,261.774169921875,271.7300109863281,274.4100036621094,267.05999755859375,274.4100036621094,2621300
2022-01-04,257.0344543457031,266.80999755859375,269.8800048828125,263.5799865722656,269.0,2340500
2022-01-05,251.10012817382812,260.6499938964844,268.7699890136719,260.4200134277344,268.1600036621094,3004200
2022-01-06,249.8284912109375,259.3299865722656,261.29998779296875,255.4600067138672,260.1000061035156,2863200
2022-01-07,249.9922332763672,259.5,261.25,256.7099914550781,259.739990234375,2245100
2022-01-10,250.57994079589844,260.1099853515625,260.1600036621094,255.88999938964844,258.19000244140625,2576700
2022-01-11,252.7089385986328,262.32000732421875,262.4100036621094,257.05999755859375,261.5899963378906,2294000
2022-01-12,246.5434112548828,255.9199981689453,257.44000244140625,250.97000122070312,252.89999389648438,6562800
2022-01-13,240.5224151611328,249.6699981689453,255.5,248.5500030517578,254.07000732421875,3726500
2022-01-14,235.17575073242188,244.1199951171875,250.5399932861328,242.89999389648438,250.14999389648438,2894300
2022-01-18,238.01771545410156,247.07000732421875,248.52000427246094,242.08999633789062,242.75,3241200
2022-01-19,236.07171630859375,245.0500030517578,250.41000366210938,244.72999572753906,246.3300018310547,2487600
2022-01-20,234.22207641601562,243.1300048828125,247.9499969482422,242.5,245.5800018310547,2655400
2022-01-21,234.15464782714844,243.05999755859375,247.8800048828125,242.1199951171875,246.8800048828125,2788600
2022-01-24,231.61134338378906,240.4199981689453,243.75999450683594,232.67999267578125,242.5500030517578,3712800
2022-01-25,230.6865234375,239.4600067138672,241.52999877929688,235.1199951171875,236.80999755859375,2525100
2022-01-26,229.14512634277344,237.86000061035156,242.42999267578125,235.91000366210938,239.6300048828125,2913200
2022-01-27,228.0469207763672,236.72000122070312,243.27000427246094,235.75999450683594,239.97999572753906,2178500
2022-01-28,236.11985778808594,245.10000610351562,245.22000122070312,235.0500030517578,237.49000549316406,3081100
2022-01-31,236.3992462158203,245.38999938964844,245.49000549316406,241.9199981689453,243.27000427246094,3237100
2022-02-01,239.183349609375,248.27999877929688,248.83999633789062,243.25999450683594,247.0500030517578,2449400
